Regno,proj_name,promoter_type,proj_district,prom_name,project_type,project_comp_date,proj_status,project_address,inventory_type,carpet_area,terrace_area,no_of_inventory,balcony_area,arch_name,num_projects_completed,total_flats_value,occupancy_date_value,,,,
PRM/KA/RERA/1250/304/PR/150224/006622,DS MAX SKY SAMURAI,Company,BENGALURU RURAL,DS-MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,31-12-2028,APPROVED,"SY NO 36/1 OF DEVALAPURA VILLAGE , ANUGONDANAHALLI HOBLI , Hosakote , Bengaluru Rural, Karnataka - 560067",,,,,,,,,,,,,
PRM/KA/RERA/1251/310/PR/180424/006787,SURAKSHA SPRINGS,Partnership Firm,BENGALURU URBAN,AUK SURAKSHA PROPERTIES,Residential/Group Housing,15-03-2027,APPROVED,"Sy No36/8, 36/10 Yelenahalli Village, , Begur Hobli, Bangalore South Taluk, Bangalore , Bengaluru South , Bengaluru Urban, Karnataka - 560076",,,,,,,,,,,,,
PRM/KA/RERA/1251/446/PR/200123/003231,TRANQUIL AT BRIGADE CORNERSTONE UTOPIA,Company,BENGALURU URBAN,MYSORE PROJECTS PRIVATE LIMITED,Residential/Group Housing,30-09-2025,APPROVED,"Sy No's. 227/1, 227/3, 227/4, 228/1, 229/1, 229/2 and 229/4 of Gunjur Village, Varthur Hobli",,,,,,,,,,,,,
PRM/KA/RERA/1251/446/PR/210219/003938,"SOBHA WINDSOR PHASE 4 WING 9, 10 AND 11",Company,BENGALURU URBAN,SOBHA LIMITED,Residential/Group Housing,31-03-2028,APPROVED,"Phase 4 at Sy.Nos.115/2(p) and 116/3 (p), in the composite project Sobha Windsor situated at, Sy.Nos. 107, 115/2(p), 115/3, 115/4, 115/5(p), 116/3(p) of Nagondanahalli Village and Sy.No.30/1 and 30/6 of Hagadur Village.",Flats,24522SqMtr,160SqMtr,210,1809SqMtr,,,,,,,,
PRM/KA/RERA/1251/308/PR/210928/004316,THE PRESTIGE CITY - AVALON PARK,Company,BENGALURU URBAN,PRESTIGE PROJECTS PRIVATE LIMITED,Residential/Group Housing,20-02-2025,APPROVED,"The Prestige City, Avalon Park-apartments situated at Sy.Nos.54 (P)55-58, 62, 63/1 to 63/8, 59/3 and 59/4 of Valagere Kallahalli Village, Near yamare Panchayath Office, Sarjapura Hobli, Anekal Taluk, Bangalore",Residential Apartments,100342SqMtr,0SqMtr,950,12429SqMtr,,,,,,,,
PRM/KA/RERA/1250/303/PR/190822/005171,PRESTIGE PARK DRIVE - PHASE 3,Company,BENGALURU RURAL,PRESTIGE HOSPITALITY VENTURES LIMITED,Plotted Development,31-12-2022,APPROVED,,,,,,,,,Not found,Not found,,,,
PRM/KA/RERA/1250/304/PR/150224/006622,DS MAX SKY SAMURAI,Company,BENGALURU RURAL,DS-MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,31-12-2028,APPROVED,"SY NO 36/1 OF DEVALAPURA VILLAGE , ANUGONDANAHALLI HOBLI , Hosakote , Bengaluru Rural, Karnataka - 560067",,,,,,,,,,,,,
PRM/KA/RERA/1251/310/PR/180424/006787,SURAKSHA SPRINGS,Partnership Firm,BENGALURU URBAN,AUK SURAKSHA PROPERTIES,Residential/Group Housing,15-03-2027,APPROVED,"Sy No36/8, 36/10 Yelenahalli Village, , Begur Hobli, Bangalore South Taluk, Bangalore , Bengaluru South , Bengaluru Urban, Karnataka - 560076",,,,,,,,,,,,,
PRM/KA/RERA/1251/446/PR/200123/003231,TRANQUIL AT BRIGADE CORNERSTONE UTOPIA,Company,BENGALURU URBAN,MYSORE PROJECTS PRIVATE LIMITED,Residential/Group Housing,30-09-2025,APPROVED,"Sy No's. 227/1, 227/3, 227/4, 228/1, 229/1, 229/2 and 229/4 of Gunjur Village, Varthur Hobli",,,,,,,,,,,,,
PRM/KA/RERA/1251/446/PR/210219/003938,"SOBHA WINDSOR PHASE 4 WING 9, 10 AND 11",Company,BENGALURU URBAN,SOBHA LIMITED,Residential/Group Housing,31-03-2028,APPROVED,"Phase 4 at Sy.Nos.115/2(p) and 116/3 (p), in the composite project Sobha Windsor situated at, Sy.Nos. 107, 115/2(p), 115/3, 115/4, 115/5(p), 116/3(p) of Nagondanahalli Village and Sy.No.30/1 and 30/6 of Hagadur Village.",Flats,24522SqMtr,160SqMtr,210,1809SqMtr,,,,,,,,
PRM/KA/RERA/1251/308/PR/210928/004316,THE PRESTIGE CITY - AVALON PARK,Company,BENGALURU URBAN,PRESTIGE PROJECTS PRIVATE LIMITED,Residential/Group Housing,20-02-2025,APPROVED,"The Prestige City, Avalon Park-apartments situated at Sy.Nos.54 (P)55-58, 62, 63/1 to 63/8, 59/3 and 59/4 of Valagere Kallahalli Village, Near yamare Panchayath Office, Sarjapura Hobli, Anekal Taluk, Bangalore",Residential Apartments,100342SqMtr,0SqMtr,950,12429SqMtr,,,,,,,,
PRM/KA/RERA/1250/303/PR/190822/005171,PRESTIGE PARK DRIVE - PHASE 3,Company,BENGALURU RURAL,PRESTIGE HOSPITALITY VENTURES LIMITED,Plotted Development,31-12-2022,APPROVED,,,,,,,,,Not found,Not found,,,,
PRM/KA/RERA/1251/446/PR/250123/005667,PRESTIGE ELM PARK,Company,BENGALURU URBAN,PRESTIGE ESTATES PROJECTS LTD,Residential/Group Housing,14-08-2026,APPROVED,,,,,,,,,,,,,,
PRM/KA/RERA/1250/304/PR/150224/006622,DS MAX SKY SAMURAI,Company,BENGALURU RURAL,DS-MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,31-12-2028,APPROVED,"SY NO 36/1 OF DEVALAPURA VILLAGE , ANUGONDANAHALLI HOBLI , Hosakote , Bengaluru Rural, Karnataka - 560067",,,,,,,,,,,,,
